ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",94,"Safford, AZ","31000US40940","safford-az-31000US40940",19240,0.5043911390745838
0,"White Alone",1,"Hispanic or Latino",2021,"2021",717,"Safford, AZ","31000US40940","safford-az-31000US40940",8743,0.22920435181544108
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",28,"Safford, AZ","31000US40940","safford-az-31000US40940",756,0.019819111285882814
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",14,"Safford, AZ","31000US40940","safford-az-31000US40940",6,0.00015729453401494299
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",76,"Safford, AZ","31000US40940","safford-az-31000US40940",4840,0.12688425743872067
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",115.99999999999999,"Safford, AZ","31000US40940","safford-az-31000US40940",136,0.003565342771005374
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",108,"Safford, AZ","31000US40940","safford-az-31000US40940",220,0.005767466247214576
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",69,"Safford, AZ","31000US40940","safford-az-31000US40940",53,0.0013894350504653297
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",36,"Safford, AZ","31000US40940","safford-az-31000US40940",34,0.0008913356927513435
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",14,"Safford, AZ","31000US40940","safford-az-31000US40940",7,0.00018351028968410015
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",77,"Safford, AZ","31000US40940","safford-az-31000US40940",77,0.0020186131865251016
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",248,"Safford, AZ","31000US40940","safford-az-31000US40940",774,0.020290994887927644
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",137.7679207943562,"Safford, AZ","31000US40940","safford-az-31000US40940",281,0.007366627343033163
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",603.6928026736778,"Safford, AZ","31000US40940","safford-az-31000US40940",2978,0.07807052038275003
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",48,"Safford, AZ","31000US40940","safford-az-31000US40940",19492,0.508876357560568
